  position_mm      density_cm_3    error_density_cm_3
  -1.9350000e+01   3.9503628e+18   2.0611186e+17
  -1.9200000e+01   3.9724527e+18   1.6748529e+17
  -1.9050000e+01   3.9506550e+18   1.4594370e+17
  -1.8900000e+01   3.9280013e+18   9.3185711e+16
  -1.8750000e+01   3.9733083e+18   4.8986580e+16
  -1.8600000e+01   3.9720655e+18   1.5811249e+17
  -1.8450000e+01   3.9944477e+18   1.2383110e+17
  -1.8300000e+01   3.9927272e+18   2.4449237e+17
  -1.8150000e+01   3.8284017e+18   1.1278526e+17
  -1.8000000e+01   3.9527038e+18   1.3667702e+17
  -1.7850000e+01   3.9713490e+18   1.1390953e+17
  -1.7700000e+01   4.0914216e+18   6.9611865e+16
  -1.7550000e+01   4.0520375e+18   1.3101506e+17
  -1.7400000e+01   3.9307665e+18   1.3792977e+17
  -1.7250000e+01   3.9887200e+18   1.0227808e+17
  -1.7100000e+01   4.0093088e+18   5.0813694e+16
  -1.6950000e+01   4.0327876e+18   1.6672899e+17
  -1.6800000e+01   3.9820593e+18   6.0631817e+16
  -1.6650000e+01   4.0588712e+18   1.7619186e+17
  -1.6500000e+01   4.0187117e+18   1.7560006e+17
  -1.6350000e+01   4.0166123e+18   9.1297687e+16
  -1.6200000e+01   4.1010724e+18   8.7466461e+16
  -1.6050000e+01   4.0817745e+18   9.2679236e+16
  -1.5900000e+01   4.0584488e+18   2.0840811e+17
  -1.5750000e+01   4.0456506e+18   1.3983964e+17
  -1.5600000e+01   4.0212267e+18   1.1955528e+17
  -1.5450000e+01   4.0771998e+18   7.6323689e+16
  -1.5300000e+01   4.1620285e+18   1.6758439e+17
  -1.5150000e+01   4.1167664e+18   1.7274585e+17
  -1.5000000e+01   4.3255563e+18   6.8310911e+16
  -1.4850000e+01   4.2177366e+18   1.0868811e+17
  -1.4700000e+01   4.1440782e+18   1.1809953e+17
  -1.4550000e+01   4.1465887e+18   1.0536449e+17
  -1.4400000e+01   4.2842657e+18   1.3154310e+17
  -1.4250000e+01   4.3032013e+18   1.3300940e+17
  -1.4100000e+01   4.3288031e+18   2.3527809e+17
  -1.3950000e+01   4.2686862e+18   1.6152970e+17
  -1.3800000e+01   4.3424864e+18   1.0928883e+17
  -1.3650000e+01   4.3772834e+18   2.2044427e+17
  -1.3500000e+01   4.3846526e+18   1.4899532e+17
  -1.3350000e+01   4.5039075e+18   2.3086828e+17
  -1.3200000e+01   4.4053611e+18   1.8752647e+17
  -1.3050000e+01   4.4398463e+18   1.5873175e+17
  -1.2900000e+01   4.4366673e+18   1.9308779e+17
  -1.2750000e+01   4.5901053e+18   1.3693790e+17
  -1.2600000e+01   4.7035921e+18   2.3842692e+17
  -1.2450000e+01   4.6314429e+18   1.9605548e+17
  -1.2300000e+01   4.5263743e+18   1.6129490e+17
  -1.2150000e+01   4.5543258e+18   1.4547603e+17
  -1.2000000e+01   4.6886340e+18   1.1791988e+17
  -1.1850000e+01   4.6805498e+18   1.3165628e+17
  -1.1700000e+01   4.7915368e+18   2.3322791e+17
  -1.1550000e+01   4.6169594e+18   2.3423860e+17
  -1.1400000e+01   4.8148342e+18   1.9034600e+17
  -1.1250000e+01   4.8566199e+18   1.3587267e+17
  -1.1100000e+01   4.8576121e+18   1.3743831e+17
  -1.0950000e+01   4.8707558e+18   2.0503265e+17
  -1.0800000e+01   4.7192406e+18   2.1176779e+17
  -1.0650000e+01   4.9573683e+18   2.0976604e+17
  -1.0500000e+01   4.8572416e+18   1.9362551e+17
  -1.0350000e+01   4.8027023e+18   1.2524178e+17
  -1.0200000e+01   4.8555472e+18   2.2020288e+17
  -1.0050000e+01   4.6922696e+18   1.9089259e+17
  -9.9000000e+00   4.8135089e+18   2.5396906e+17
  -9.7500000e+00   4.8342061e+18   2.1903711e+17
  -9.6000000e+00   4.8759182e+18   1.3196288e+17
  -9.4500000e+00   5.0381027e+18   2.3249167e+17
  -9.3000000e+00   4.9681324e+18   2.7490220e+17
  -9.1500000e+00   5.0765344e+18   2.2848914e+17
  -9.0000000e+00   5.0501827e+18   2.9610926e+17
  -8.8500000e+00   4.9754223e+18   2.5423928e+17
  -8.7000000e+00   5.0546577e+18   1.6739891e+17
  -8.5500000e+00   5.1747214e+18   1.5422950e+17
  -8.4000000e+00   5.1275747e+18   1.4008802e+17
  -8.2500000e+00   5.0794950e+18   2.1683977e+17
  -8.1000000e+00   5.1723960e+18   1.1581486e+17
  -7.9500000e+00   5.0836074e+18   3.5800030e+17
  -7.8000000e+00   5.0106471e+18   2.3593999e+17
  -7.6500000e+00   5.0971704e+18   4.8975050e+17
  -7.5000000e+00   4.9676375e+18   1.7339345e+17
  -7.3500000e+00   5.1361756e+18   6.2859230e+16
  -7.2000000e+00   5.1860187e+18   2.0186084e+17
  -7.0500000e+00   5.1965530e+18   1.1895354e+17
  -6.9000000e+00   5.0390087e+18   1.2025811e+17
  -6.7500000e+00   5.2145672e+18   1.2505995e+17
  -6.6000000e+00   4.9924038e+18   1.9536119e+17
  -6.4500000e+00   5.0157120e+18   1.2137901e+17
  -6.3000000e+00   5.1329370e+18   1.5446414e+17
  -6.1500000e+00   5.2291267e+18   1.8650518e+17
  -6.0000000e+00   5.2359392e+18   1.4850695e+17
  -5.8500000e+00   5.1432899e+18   1.1662751e+17
  -5.7000000e+00   5.2764508e+18   1.1816573e+17
  -5.5500000e+00   5.2540185e+18   2.1847273e+17
  -5.4000000e+00   5.3460772e+18   1.7263692e+17
  -5.2500000e+00   5.1797989e+18   1.2530821e+17
  -5.1000000e+00   5.0399368e+18   1.2792218e+17
  -4.9500000e+00   4.9682557e+18   1.7969375e+17
  -4.8000000e+00   5.0681140e+18   8.1633268e+16
  -4.6500000e+00   4.9755342e+18   2.1417660e+17
  -4.5000000e+00   5.0650907e+18   1.2692146e+17
  -4.3500000e+00   4.8689787e+18   1.6507252e+17
  -4.2000000e+00   4.9811054e+18   1.7341023e+17
  -4.0500000e+00   4.9433820e+18   1.6875099e+17
  -3.9000000e+00   5.1525166e+18   2.5346302e+17
  -3.7500000e+00   5.1005379e+18   2.1682501e+17
  -3.6000000e+00   5.1397809e+18   1.7720123e+17
  -3.4500000e+00   5.0750008e+18   1.6325865e+17
  -3.3000000e+00   5.0271426e+18   1.2977097e+17
  -3.1500000e+00   5.2041207e+18   1.8246051e+17
  -3.0000000e+00   5.1190034e+18   1.6010120e+17
  -2.8500000e+00   5.0586266e+18   1.4783466e+17
  -2.7000000e+00   5.1577153e+18   1.5090977e+17
  -2.5500000e+00   5.1925352e+18   1.2764061e+17
  -2.4000000e+00   5.2284116e+18   1.6152354e+17
  -2.2500000e+00   5.1214357e+18   1.9588603e+17
  -2.1000000e+00   5.2370685e+18   1.3972340e+17
  -1.9500000e+00   5.1073437e+18   1.3429319e+17
  -1.8000000e+00   5.1166164e+18   1.9398087e+17
  -1.6500000e+00   5.1465264e+18   7.0108276e+16
  -1.5000000e+00   5.0898856e+18   9.9545054e+16
  -1.3500000e+00   5.2363844e+18   2.5952188e+17
  -1.2000000e+00   5.1995329e+18   1.8162794e+17
  -1.0500000e+00   5.0431773e+18   3.0431023e+17
  -9.0000000e-01   5.2324146e+18   9.6015341e+16
  -7.5000000e-01   5.3505208e+18   1.1403567e+17
  -6.0000000e-01   5.3130646e+18   1.7321999e+17
  -4.5000000e-01   5.3011826e+18   1.2504285e+17
  -3.0000000e-01   5.1476558e+18   1.5642376e+17
  -1.5000000e-01   5.1605748e+18   1.3892532e+17
   0.0000000e+00   5.1128566e+18   1.5536630e+17
   1.5000000e-01   5.2010083e+18   1.2267996e+17
   3.0000000e-01   5.2018873e+18   1.6959532e+17
   4.5000000e-01   5.1605817e+18   1.0998750e+17
   6.0000000e-01   5.1443400e+18   9.4399162e+16
   7.5000000e-01   5.0277774e+18   3.0338099e+17
   9.0000000e-01   5.0557231e+18   1.7660443e+17
   1.0500000e+00   5.1249018e+18   2.5399666e+17
   1.2000000e+00   5.0402919e+18   9.8575129e+16
   1.3500000e+00   4.9849896e+18   6.7907749e+16
   1.5000000e+00   5.0419050e+18   1.9114841e+17
   1.6500000e+00   5.0866363e+18   1.3374870e+17
   1.8000000e+00   5.1006981e+18   1.3608508e+17
   1.9500000e+00   5.0103018e+18   1.9163535e+17
   2.1000000e+00   5.0533834e+18   1.5611632e+17
   2.2500000e+00   5.0714522e+18   1.2466420e+17
   2.4000000e+00   5.0306268e+18   1.4719129e+17
   2.5500000e+00   4.9525226e+18   1.4473385e+17
   2.7000000e+00   4.9441029e+18   1.5463104e+17
   2.8500000e+00   5.0319158e+18   1.7642287e+17
   3.0000000e+00   5.0244704e+18   1.2970199e+17
   3.1500000e+00   5.0522221e+18   1.6252588e+17
   3.3000000e+00   5.0609751e+18   1.7448429e+17
   3.4500000e+00   5.0278229e+18   2.1373388e+17
   3.6000000e+00   4.9617837e+18   2.4408047e+17
   3.7500000e+00   4.9270596e+18   1.6819380e+17
   3.9000000e+00   4.8940750e+18   1.7038039e+17
   4.0500000e+00   4.8406096e+18   1.6411072e+17
   4.2000000e+00   4.9667292e+18   1.2445671e+17
   4.3500000e+00   4.9243621e+18   2.1197385e+17
   4.5000000e+00   4.9354376e+18   7.9496220e+16
   4.6500000e+00   4.9653680e+18   1.7958930e+17
   4.8000000e+00   4.9513934e+18   1.2567480e+17
   4.9500000e+00   5.0440899e+18   1.2202518e+17
   5.1000000e+00   5.1467650e+18   1.6620067e+17
   5.2500000e+00   5.0578551e+18   2.1031586e+17
   5.4000000e+00   5.1023568e+18   1.1426691e+17
   5.5500000e+00   5.0652399e+18   1.1485767e+17
   5.7000000e+00   5.0555845e+18   1.4339155e+17
   5.8500000e+00   5.0613488e+18   1.8052111e+17
   6.0000000e+00   5.0254346e+18   1.5122910e+17
   6.1500000e+00   4.8872034e+18   1.1826914e+17
   6.3000000e+00   4.9891476e+18   1.9523377e+17
   6.4500000e+00   5.0328467e+18   1.2070179e+17
   6.6000000e+00   4.9522845e+18   1.1818840e+17
   6.7500000e+00   5.0132718e+18   1.1475808e+17
   6.9000000e+00   5.0914587e+18   1.9818018e+17
   7.0500000e+00   5.0251076e+18   6.1499921e+16
   7.2000000e+00   4.9580918e+18   1.7306026e+17
   7.3500000e+00   4.9381522e+18   4.7447159e+17
   7.5000000e+00   4.9044701e+18   2.3094036e+17
   7.6500000e+00   4.9015860e+18   3.4518189e+17
   7.8000000e+00   5.0071668e+18   1.1211522e+17
   7.9500000e+00   4.9961170e+18   2.1328043e+17
   8.1000000e+00   4.9408067e+18   1.3498543e+17
   8.2500000e+00   4.9801151e+18   1.4842938e+17
   8.4000000e+00   4.9769618e+18   1.6482580e+17
   8.5500000e+00   4.9238489e+18   2.5160394e+17
   8.7000000e+00   4.9742494e+18   2.9165703e+17
   8.8500000e+00   4.9120415e+18   2.2108550e+17
   9.0000000e+00   4.9222188e+18   2.7236166e+17
   9.1500000e+00   4.8595736e+18   2.2425314e+17
   9.3000000e+00   4.8512150e+18   1.3129431e+17
   9.4500000e+00   4.8169723e+18   2.1825625e+17
   9.6000000e+00   4.7250582e+18   2.4930225e+17
   9.7500000e+00   4.6751395e+18   1.9019570e+17
   9.9000000e+00   4.6947616e+18   2.1291113e+17
   1.0050000e+01   4.7179746e+18   1.2303230e+17
   1.0200000e+01   4.8014905e+18   1.9140308e+17
   1.0350000e+01   4.7744874e+18   2.0202762e+17
   1.0500000e+01   4.6931618e+18   2.1059755e+17
   1.0650000e+01   4.7332059e+18   1.9924254e+17
   1.0800000e+01   4.7379911e+18   1.3405382e+17
   1.0950000e+01   4.7748613e+18   1.3358533e+17
   1.1100000e+01   4.6371779e+18   1.8332268e+17
   1.1250000e+01   4.5798483e+18   2.3235579e+17
   1.1400000e+01   4.6820920e+18   2.2790069e+17
   1.1550000e+01   4.6789749e+18   1.3161198e+17
   1.1700000e+01   4.5931940e+18   1.1551955e+17
   1.1850000e+01   4.4785640e+18   1.4305602e+17
   1.2000000e+01   4.4561634e+18   1.5879297e+17
   1.2150000e+01   4.5728108e+18   1.9357350e+17
   1.2300000e+01   4.6025796e+18   2.3330655e+17
   1.2450000e+01   4.4477469e+18   1.3269088e+17
   1.2600000e+01   4.3585791e+18   1.8968931e+17
   1.2750000e+01   4.3653944e+18   1.5606998e+17
   1.2900000e+01   4.3465934e+18   1.8502486e+17
   1.3050000e+01   4.3406631e+18   2.2250044e+17
   1.3200000e+01   4.3491311e+18   1.4778826e+17
