   position_mm     density_cm_3    error_density_cm_3
   0.0000000e+00   2.4097293e+18   2.4891185e+16
   1.0638298e-02   2.4813771e+18   4.0015777e+16
   2.1276596e-02   2.4976950e+18   3.2199921e+16
   3.1914894e-02   2.4050968e+18   1.7803741e+16
   4.2553191e-02   2.4562712e+18   4.0316925e+16
   5.3191489e-02   2.4742616e+18   1.4288154e+16
   6.3829787e-02   2.4378812e+18   3.7408600e+16
   7.4468085e-02   2.4118559e+18   4.8580352e+16
   8.5106383e-02   2.3722899e+18   2.3634760e+16
   9.5744681e-02   2.3916340e+18   1.6505611e+16
   1.0638298e-01   2.4775259e+18   2.2864618e+16
   1.1702128e-01   2.4337366e+18   3.8140877e+16
   1.2765957e-01   2.3442235e+18   1.9759832e+16
   1.3829787e-01   2.2610319e+18   2.6623777e+16
   1.4893617e-01   2.2659545e+18   4.3885513e+16
   1.5957447e-01   2.1624737e+18   3.0094101e+16
   1.7021277e-01   2.1670210e+18   4.2779964e+16
   1.8085106e-01   2.1587183e+18   3.1595077e+16
   1.9148936e-01   2.1153909e+18   2.5886325e+16
   2.0212766e-01   2.1241230e+18   2.1922556e+16
   2.1276596e-01   2.1307374e+18   5.4300174e+16
   2.2340426e-01   2.0588894e+18   3.2101208e+16
   2.3404255e-01   2.0759088e+18   3.3632373e+16
   2.4468085e-01   2.0332796e+18   2.5732568e+16
   2.5531915e-01   2.0031441e+18   3.6292691e+16
   2.6595745e-01   2.0239519e+18   4.8646441e+16
   2.7659574e-01   2.1134711e+18   3.9717891e+16
   2.8723404e-01   2.1109134e+18   2.9192434e+16
   2.9787234e-01   2.1511133e+18   3.8220027e+16
   3.0851064e-01   2.1940513e+18   4.2907749e+16
   3.1914894e-01   2.1932907e+18   4.2945702e+16
   3.2978723e-01   2.2740747e+18   4.6438468e+16
   3.4042553e-01   2.2503079e+18   4.0320258e+16
   3.5106383e-01   2.3254055e+18   3.9769682e+16
   3.6170213e-01   2.4189048e+18   4.6482914e+16
   3.7234043e-01   2.4856245e+18   5.1845993e+16
   3.8297872e-01   2.5779569e+18   3.2221074e+16
   3.9361702e-01   2.5846126e+18   4.5346899e+16
   4.0425532e-01   2.5887129e+18   5.4494765e+16
   4.1489362e-01   2.6013876e+18   5.6088818e+16
   4.2553191e-01   2.6633871e+18   6.0264366e+16
   4.3617021e-01   2.7194558e+18   4.3757217e+16
   4.4680851e-01   2.6972329e+18   5.6739365e+16
   4.5744681e-01   2.5762380e+18   3.1342110e+16
   4.6808511e-01   2.6641092e+18   3.1436396e+16
   4.7872340e-01   2.6857496e+18   6.8685067e+16
   4.8936170e-01   2.6066344e+18   6.1964894e+16
   5.0000000e-01   2.4008730e+18   5.4683528e+16
